Receptor,Transducer,Olanzapine,Clozapine,Aripiprazole,Risperidone,Haloperidol,Cariprazine
ALPHA2A,Gz,0.14582188874194282,0,0,0,0,0
ALPHA2B,Gi1,0,0.185381019178379,0.2111572720358287,0,0,0
ALPHA2B,Gi2,0.12762696904043205,0,0,0.12068184356464944,0,0
ALPHA2B,GoA,0.1242995545540914,0,0.13064730592805252,0.1385480028031398,0,0
ALPHA2B,Gz,0.44074659429124224,0,0,0,0,0
ALPHA2C,Gi1,0,-0.2761640487407577,0,-0.22087309633351293,-0.195650152413388,0
ALPHA2C,Gi2,0,0,0,-0.08429844967533301,0,0
ALPHA2C,GoA,-0.1202154368343431,-0.1311483927552739,0.14688025470019248,0,0,0
ALPHA2C,GoB,0,0,0.19665251760466868,0,0,0
ALPHA2C,Gz,0,-0.2020441076588388,0.6050360566755547,-0.2216583970426868,-0.15713383547962226,0
BETA1AR,Gs,0,-0.16688477330219412,0,0,0,0
BETA2AR,Gs,0,-0.30638325605699307,0,0.7153794247041007,-0.4586962027933178,0
D1,Gs,0,-0.1656823868088641,-0.2712791651754639,0,0,0
D2,Gi1,0,0,0.3633881512894433,0,0,0.4538495766861649
D2,Gi2,0,0,0.3589440086356041,0,-0.14906120260171257,0.48303959384883377
D2,Gi3,0,0,0.1985595359536308,0,-0.3778631510279464,0
D2,GoA,-0.13470822551555472,0,0.3522185483001154,0,0,0.43839800153073066
D2,GoB,0,-0.23691085121398908,0.5179440749147616,-0.15978320141673777,-0.7240503639584633,0.29120876097879866
D2,Gz,0,0,0.5831332689135714,0,-0.2412757815307498,0.9506593338216828
D3,GoA,-0.42009366723930314,-0.4187836049153354,0.900669599729396,0,-0.8831223997259492,0.5920575618949282
D3,GoB,-0.935978987007857,0,0.6717853059269695,-1.4674040956351682,-1.2876234913167726,0
D3,Gz,-0.3068429101919066,-0.3156383762699964,0.6280551979608094,-0.5119281850529122,-0.5663665790792402,0.547799037366976
D4,Gi2,0,0,0.27136552375169626,0,0,0.332368109279351
D4,Gi3,0,0,0.44574097051731354,0,0,0.440080347415375
D4,GoA,0,0,0.6170290520076773,0,0,0.7479410494883346
D4,GoB,0,-0.135410307954842,0.6468736454438792,-0.16938619712040584,-0.11693699343392756,1.0093721889710592
D4,Gi1,0,0,0.4947486726557125,0,0,0.5345714891968331
D4,Gz,-0.2207303488537436,-0.6455885541891034,0,-0.8292654234304514,-0.5273178110234543,0.9104023945502988
D5,Gs,-0.2368482352263772,-0.30691856894835834,0,0,-0.3793673367615683,0
5HT1A,Gi1,0,0.1967377325929928,0.5924873221470316,0,0,0.6631332842540518
5HT1A,Gi2,0,0.08871183818079086,0.4885175234071497,0,0,0.5598627998734871
5HT1A,Gi3,0,0.1518845340624932,0.44355348750791407,0.11005239819000212,0,0.509766913552097
5HT1A,GoA,0,0.43579063153359976,0.6574444621265548,0.2264942925996807,0,0.7269171528887718
5HT1A,GoB,0,0.5929223143620533,0.9594165450379204,0.1706133680319817,0,0.9293882335575409
