Receptor,Transducer,X4_AcO_MALT,X5_MeO_DMT,X5_MeO_DALT,X5_MeO_DiPT,X5_MeO_EiPT,N_N_DMT,X5_OH_DMT,Psilocin,Psilocybin,Aleph_1,Allylescaline,Bromo_DragonFLY,BL_3912A,CPM,X25C_NBOMe,Escaline,Isoproscaline,X25I_NBMD,X25I_NBOMe,X5_MAPDB,MAL,Mescaline,TCB_2,X25T7_NBOMe,AL_LAD,BU_LAD,DAM_57,DIPLA,DMCPA,DOI,DOM,ETH_LAD,LAMPA,LSD,LSZ,METALLAD,MDMA,Methylone,Nor_LSD,Lisuride
D2,Gi1,0,33.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,36.89,0,81.08,25.63,35.3,60.91,0,0,0,92.15,64.53,76.78,55.77,63.1,0,0,68.68,74.72
D2,Gi2,0,0,0,0,0,0,23.54,54.86,0,0,0,0,28.83,0,0,0,0,0,0,0,0,29.03,49.79,0,52.76,0,61.64,65.63,0,0,0,95.67,58.47,82.4,65.63,60.21,0,0,91.55,90.75
D2,Gi3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,64.9,0,40.35,41.04,0,0,0,81.51,45.08,56.23,59.32,47.37,0,0,69.25,61.1
D2,GoA,57.79,57.51,85.37,0,0,0,88.27,81.49,0,100.67,0,70.35,0,0,0,0,0,0,0,0,0,0,81.18,0,86.59,53.18,95.99,82.3,58.71,53.09,0,100.85,83.85,85.57,77.04,80.12,0,21.22,87.21,98.56
D2,GoB,61.99,58.32,57.49,0,52.54,0,76.21,55.76,0,70.41,87.35,108.42,72.59,107.22,50.6,0,0,0,0,0,0,0,110.08,0,89.81,56.09,86.33,95.17,39.62,67.82,0,99.24,82.67,99.86,93.71,89.89,0,0,107.76,87.43
D2,Gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95,0,55.85,0,41.32,46.77,0,0,0,77.35,55.32,73.36,51.65,40.1,0,0,68.35,58.94
D3,GoA,85.60000000000001,98.14,73.91000000000001,0,0,61.89,78.83,104.06,0,121.86,97.95,0,117.74,97.92,0,0,0,0,0,0,0,97.15,83.85000000000001,43.82,89.25,59.59,85.79,80.53,0,0,56.059999999999995,99.4,73.68,90.21,76.60000000000001,79.84,75.97,0,80.43,92.47
D3,GoB,74.69000000000001,97.85,69.4,0,75.4,87.64,93.51,88.82000000000001,0,119.36,104.76,0,103.72,94.12,0,0,0,0,31.200000000000003,0,85.81,87.61,74.39,39.129999999999995,90.76,58.669999999999995,80.13000000000001,64.5,0,0,0,92.77,71.13000000000001,53.3,87.97,84.65,59.82,0,50.3,79.55000000000001
D3,Gz,55.52,76.06,77.33,0,52.19,45.94,54.669999999999995,69.07000000000001,0,93.28,69.17,0,0,0,0,0,0,0,0,0,0,0,0,0,70.71000000000001,70.08,62.55,62.309999999999995,39.97,33.91,41.48,99.56,63.23,49.64,67.72,75.07000000000001,0,0,63.14,77.16000000000001
D4,Gi1,0,0,0,0,0,0,0,0,0,46.82,0,0,0,0,0,23.98,0,0,0,0,0,0,0,0,62.78,0,66.14,46.65,0,0,0,50,52.15,55.3,60.77,0,0,0,86.43,78.34
D4,Gi2,0,0,0,0,0,0,0,0,0,53.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.74,0,68.83,58.36,0,0,0,75.29,75.67,71.88,70.14,0,0,0,74.34,96.72
D4,Gi3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.1,0,54.22,41.92,0,0,0,77.42,55.26,49.87,60.16,0,0,0,69.16,61.44
D4,GoA,0,64.16,79.39,23.29,0,0,0,0,0,98.06,75.91,0,0,84.91,0,68.85,0,0,0,0,0,0,0,0,69.82,0,95.71,63.4,51.58,0,0,72.93,66.23,81.39,81.1,35.24,0,0,82.9,65.9
D4,GoB,0,82.27,89.04,0,0,0,0,0,0,75.09,0,0,0,90.56,0,88.23,0,0,0,0,0,0,0,0,89.78,0,109.7,79.81,43.69,0,0,86.98,68.6,93.61,84.54,26.18,0,0,92.1,71.69
D4,Gz,0,65.11,96.92,0,0,0,0,0,0,85.48,0,0,57.17,76.34,0,0,0,0,0,0,0,0,0,0,73.1,34.26,97.83,75.88,49.14,0,84.1,86.68,90.97,102.59,0,42.75,0,0,104.42,73.08
D5,Gs,0,0,20.34,0,0,0,0,0,0,0,0,17.46,0,0,0,0,0,0,0,0,0,0,0,71.61,68.11,0,78.3,81.11,0,0,0,82.83,96.95,84,69.3,0,0,0,107.86,68.2
ALPHA2A,Gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.99,81.9,60.11,20.56,0,0,87.23,65.45,53.34,45.4,31.54,0,0,83.78,0
ALPHA2B,Gi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.54,0,55.62,0,0,0,0,74.16,0,0,0,0,0,0,36.98,0
ALPHA2B,Gi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,65.43,66.27,0,0,0,0,113.52,33.29,0,52.86,69.23,0,0,71.96,0
ALPHA2B,GoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.11,0,0,0,44.51,0,0,0,0,71.9,75.81,77.52,0,0,0,0,96.42,34.22,30.94,66.46,0,0,0,64.74,0
ALPHA2B,Gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.81,68.35,63.11,0,0,0,0,75,0,0,41.78,65.12,0,0,69.87,0
ALPHA2C,Gi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.11,15.49,0,0,0,33.66,30.3,18.09,0,0,0,0,37.82,0
ALPHA2C,Gi2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.05,68.82,0,0,0,56.97,58.85,60.72,0,0,0,0,57.12,0
ALPHA2C,GoA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.15,65.56,0,0,0,48.42,68.36,49.31,16.57,0,0,0,80.1,0
ALPHA2C,GoB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8,60.16,0,23.93,0,54.03,58.53,47.64,0,29.88,0,0,65.82,0
ALPHA2C,Gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.51,57.29,0,0,0,40.94,48.46,44.26,0,0,0,0,73.78,0
BETA1AR,Gs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETA2AR,Gs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.63,0,0,0,0,0,0,0,0
