Name,Category,Canonical SMILES,Isomeric SMILES,IUPAC
HOT-17,Phenethylamine,CCC(C)SC1=C(C=C(C(=C1)OC)CCNO)OC,CCC(C)SC1=C(C=C(C(=C1)OC)CCNO)OC,"N-[2-(4-butan-2-ylsulfanyl-2,5-dimethoxyphenyl)ethyl]hydroxylamine"
2CB-Ind,Phenethylamine,COC1=CC(=C(C2=C1C(CC2)CN)OC)Br,COC1=CC(=C(C2=C1C(CC2)CN)OC)Br,"(5-bromo-4,7-dimethoxy-2,3-dihydro-1H-inden-1-yl)methanamine"
2C-BCB,Phenethylamine,COC1=CC(=C(C2=C1C(C2)CN)OC)Br,COC1=CC(=C(C2=C1[C@@H](C2)CN)OC)Br,"[(7R)-3-bromo-2,5-dimethoxy-7-bicyclo[4.2.0]octa-1(6),2,4-trienyl]methanamine"
NBOMe-mescaline,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C(=C2)OC)OC)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C(=C2)OC)OC)OC,"N-[(2-methoxyphenyl)methyl]-2-(3,4,5-trimethoxyphenyl)ethanamine"
2C-H-NBOMe,Phenethylamine,COC1=CC(=C(C=C1)OC)CCNCC2=CC=CC=C2OC,COC1=CC(=C(C=C1)OC)CCNCC2=CC=CC=C2OC,"2-(2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-C-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,"2-(4-chloro-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2CBCB-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCC2CC3=C2C(=CC(=C3OC)Br)OC,COC1=CC=CC=C1CNC[C@@H]2CC3=C2C(=CC(=C3OC)Br)OC,"1-[(7R)-3-bromo-2,5-dimethoxy-7-bicyclo[4.2.0]octa-1(6),2,4-trienyl]-N-[(2-methoxyphenyl)methyl]methanamine"
2CBFly-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=C3CCOC3=C(C4=C2OCC4)Br,COC1=CC=CC=C1CNCCC2=C3CCOC3=C(C4=C2OCC4)Br,"2-(4-bromo-2,3,6,7-tetrahydrofuro[2,3-f][1]benzofuran-8-yl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-I-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)I)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)I)OC,"2-(4-iodo-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-TFM-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)C(F)(F)F)OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)C(F)(F)F)OC,"2-[2,5-dimethoxy-4-(trifluoromethyl)phenyl]-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-D-NBOMe,Phenethylamine,CC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,CC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,"2-(2,5-dimethoxy-4-methylphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-G-NBOMe,Phenethylamine,CC1=C(C=C(C(=C1C)OC)CCNCC2=CC=CC=C2OC)OC,CC1=C(C=C(C(=C1C)OC)CCNCC2=CC=CC=C2OC)OC,"2-(2,5-dimethoxy-3,4-dimethylphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-E-NBOMe,Phenethylamine,CCC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,CCC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,"2-(4-ethyl-2,5-dimethoxyphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-P-NBOMe,Phenethylamine,CCCC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,CCCC1=CC(=C(C=C1OC)CCNCC2=CC=CC=C2OC)OC,"2-(2,5-dimethoxy-4-propylphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-iP-NBOMe,Phenethylamine,CC(C)C1=C(C=C(C(=C1)OC)CCNCC2=CC=CC=C2OC)OC,CC(C)C1=C(C=C(C(=C1)OC)CCNCC2=CC=CC=C2OC)OC,"2-(2,5-dimethoxy-4-propan-2-ylphenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
2C-N-NBOMe,Phenethylamine,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)[N+](=O)[O-])OC,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)[N+](=O)[O-])OC,"2-(2,5-dimethoxy-4-nitrophenyl)-N-[(2-methoxyphenyl)methyl]ethanamine"
DMBMPP,Phenethylamine,COC1=CC=CC=C1C2CCCC(N2)CC3=CC(=C(C=C3OC)Br)OC,COC1=CC=CC=C1[C@@H]2CCC[C@H](N2)CC3=CC(=C(C=C3OC)Br)OC,"(2S,6S)-2-[(4-bromo-2,5-dimethoxyphenyl)methyl]-6-(2-methoxyphenyl)piperidine"
2C-B-NBOH,Phenethylamine,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2O)OC)Br,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2O)OC)Br,"2-[[2-(4-bromo-2,5-dimethoxyphenyl)ethylamino]methyl]phenol"
2C-B-NBF,Phenethylamine,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2F)OC)Br,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2F)OC)Br,"2-(4-bromo-2,5-dimethoxyphenyl)-N-[(2-fluorophenyl)methyl]ethanamine"
2C-I-NBF,Phenethylamine,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2F)OC)I,COC1=CC(=C(C=C1CCNCC2=CC=CC=C2F)OC)I,"N-[(2-fluorophenyl)methyl]-2-(4-iodo-2,5-dimethoxyphenyl)ethanamine"
3C-E,Phenethylamine,CCOC1=C(C=C(C=C1OC)CC(C)N)OC,CCOC1=C(C=C(C=C1OC)CC(C)N)OC,"1-(4-ethoxy-3,5-dimethoxyphenyl)propan-2-amine"
3C-DFE,Phenethylamine,CC(CC1=CC(=C(C(=C1)OC)OCC(F)F)OC)N,CC(CC1=CC(=C(C(=C1)OC)OCC(F)F)OC)N,"1-[4-(2,2-difluoroethoxy)-3,5-dimethoxyphenyl]propan-2-amine"
3C-BZ,Phenethylamine,CC(CC1=CC(=C(C(=C1)OC)OCC2=CC=CC=C2)OC)N,CC(CC1=CC(=C(C(=C1)OC)OCC2=CC=CC=C2)OC)N,"1-(3,5-dimethoxy-4-phenylmethoxyphenyl)propan-2-amine"
Meta-DOB,Phenethylamine,CC(CC1=CC(=C(C=C1OC)OC)Br)N,CC(CC1=CC(=C(C=C1OC)OC)Br)N,"1-(5-bromo-2,4-dimethoxyphenyl)propan-2-amine"
Methyl-DOB,Phenethylamine,CC(CC1=CC(=C(C=C1OC)Br)OC)NC,CC(CC1=CC(=C(C=C1OC)Br)OC)NC,"1-(4-bromo-2,5-dimethoxyphenyl)-N-methylpropan-2-amine"
DOET,Phenethylamine,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,"1-(4-ethyl-2,5-dimethoxyphenyl)propan-2-amine;hydrochloride"
DOPR,Phenethylamine,CCCC1=CC(=C(C=C1OC)CC(C)N)OC,CCCC1=CC(=C(C=C1OC)CC(C)N)OC,"1-(2,5-dimethoxy-4-propylphenyl)propan-2-amine"
DOiPR,Phenethylamine,CC(C)C1=C(C=C(C(=C1)OC)CC(C)N)OC,CC(C)C1=C(C=C(C(=C1)OC)CC(C)N)OC,"1-(2,5-dimethoxy-4-propan-2-ylphenyl)propan-2-amine"
Meta-DOT,Phenethylamine,CC(CC1=CC(=C(C=C1OC)OC)SC)N,CC(CC1=CC(=C(C=C1OC)OC)SC)N,"1-(2,4-dimethoxy-5-methylsulfanylphenyl)propan-2-amine"
Ortho-DOT,Phenethylamine,CC(CC1=CC(=C(C=C1SC)OC)OC)N,CC(CC1=CC(=C(C=C1SC)OC)OC)N,"1-(4,5-dimethoxy-2-methylsulfanylphenyl)propan-2-amine"
DOTFM,Phenethylamine,CC(CC1=CC(=C(C=C1OC)C(F)(F)F)OC)N,CC(CC1=CC(=C(C=C1OC)C(F)(F)F)OC)N,"1-[2,5-dimethoxy-4-(trifluoromethyl)phenyl]propan-2-amine"
DMMDA,Phenethylamine,CC(CC1=CC(=C2C(=C1OC)OCO2)OC)N,CC(CC1=CC(=C2C(=C1OC)OCO2)OC)N,"1-(4,7-dimethoxy-1,3-benzodioxol-5-yl)propan-2-amine"
"2,5-dimethoxy-3,4-dimethylamphetamine",Phenethylamine,CC1=C(C=C(C(=C1C)OC)CC(C)N)OC,CC1=C(C=C(C(=C1C)OC)CC(C)N)OC,"1-(2,5-dimethoxy-3,4-dimethylphenyl)propan-2-amine"
"2,N-dimethyl-4,5-methylenedioxyamphetamine",Phenethylamine,CC1=CC2=C(C=C1CC(C)NC)OCO2,CC1=CC2=C(C=C1CC(C)NC)OCO2,"N-methyl-1-(6-methyl-1,3-benzodioxol-5-yl)propan-2-amine"
