Name,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
CHRM1,0.0196315,0.033257,0.063872,0.018806,0.021761,0.074183,0.043101,14.7898,27.7249,25.7884,0.192919,0.182595,51.4236,50.6769,19.7209,1.53056,38.673,22.1371,0.277206,0.513036,0.499853,0.0192345,0.0,0.045015,0.107169,0.644136,0.587425,0.421257,0.409198,0.402721,0.230484,0.0412915,0.227645,0.110003,0.030485,0.018313,0.127929,0.102776,0.0,0.0,0.0,0.111477,2.1121,17.81,0.011415,0.0507385,0.021388,0.0663245,0.053676,0.038841,0.0683105,0.04728,26.3581,3.00903,4.06656,0.402283,0.046096,0.258691,0.00999,0.573113,0.513968,0.347316,0.815926,0.160343,0.122413,0.062078,0.044705,0.014921
P2RY2,0.459125,0.619787,2.6667,2.29313,3.30095,1.33718,1.28796,0.4315,0.338213,0.731633,0.094734,0.161948,0.418625,0.348867,0.441679,0.213852,0.305773,0.954664,0.191808,0.592967,1.46712,0.0385615,0.077471,13.9807,0.734265,0.306114,2.00033,3.19914,3.40244,0.414129,0.405278,27.0826,0.343671,0.989344,2.04176,3.55033,0.645787,1.99107,1.27991,1.71999,1.54624,0.925696,4.23181,1.9029,19.2898,4.28444,0.481916,0.244629,0.186718,0.280889,0.23189,1.4767,1.74339,5.07995,3.94068,3.01667,0.434056,3.84716,4.14849,0.75085,0.892441,0.727122,0.254605,1.265,14.1666,0.56567,21.2252,3.88704
MTNR1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011616,0.0,0.0386725,0.0,0.0,0.0,0.0,0.0,0.031631,0.13619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644933,0.0,0.0,0.0,0.0
DRD2,0.27847,0.148223,0.131232,0.651331,0.180195,0.104503,0.221658,1.73725,0.86552,41.7555,0.91296,1.06112,1.23273,1.06928,1.04759,7.04777,54.6776,47.318,0.678055,8.29562,0.734507,0.0,0.023833,0.434418,1.89304,0.511948,0.295259,0.143368,0.103256,0.242254,0.352543,0.149996,0.313567,0.919453,0.048636,0.0282225,0.276503,0.224842,0.0129225,0.0,0.0,0.244847,0.110813,11.9903,0.332952,4.20555,0.247622,0.06473,0.06392,0.339285,0.050327,85.7562,0.934478,0.640461,0.854856,0.2608,0.049805,0.168839,0.03568,0.085046,0.073604,0.018716,0.247872,1.79468,0.0654545,0.707061,0.514171,0.0
CXCR5,0.164542,0.116269,0.0,0.356324,0.320934,0.424919,0.221446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125587,0.0,2.73701,0.101106,0.097788,0.133127,0.237783,0.215943,0.268651,0.214532,0.112912,0.124519,0.093278,0.183132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709523,0.322475,0.0,0.057258,0.123627,0.0,0.047494,0.0,0.0,0.0,0.0,0.165096,0.106083,0.121874,4.02222,45.9049,17.4512,21.5081,0.109225,0.07409,0.0,0.0388885,0.133514,0.118677,0.10957,0.11423,4.49407
AVPR1A,24.536,24.9251,37.8219,1.6342,5.22256,45.9094,4.3415,0.152419,0.225131,0.101741,0.060406,0.0793455,0.217149,0.240539,0.169633,0.278594,0.080295,0.066264,0.0930455,0.144088,15.1956,0.0219985,0.023789,6.4128,18.346,2.85392,1.69625,0.89375,0.171858,1.16102,3.40639,0.880363,3.05454,8.60665,0.520891,1.04855,2.32147,1.10965,10.2654,25.6139,22.039,7.44858,0.754752,1.85987,1.17861,4.24647,1.25785,0.601281,0.247355,0.420143,0.446391,0.991421,3.10725,2.04674,3.1795,1.17094,0.441698,0.771931,0.553055,1.6173,1.61351,0.266731,3.20912,0.717981,14.8638,11.2029,5.05413,0.053442
HCAR2,9.09459,12.5824,0.119545,0.367849,1.15645,0.172769,2.84006,0.083978,0.106455,0.098718,0.104914,0.132306,0.113097,0.082544,0.108567,0.126649,0.091271,0.096838,0.218339,0.125226,7.02987,0.166852,0.505631,7.35494,0.366646,0.148258,0.427826,0.381046,0.343809,0.107007,0.181459,41.3503,0.119888,0.672032,0.302888,0.087507,2.99799,1.67347,0.582016,0.202475,0.218642,1.88407,9.67513,11.6129,0.084133,0.729186,0.173646,0.039791,0.027159,0.0,0.0420695,0.409293,2.64325,32.295,29.71,0.320059,0.128657,0.29976,19.7924,0.664092,0.69842,0.788716,0.194183,4.80655,0.665706,0.21415,17.6901,122.12
HCAR3,1.57443,2.51843,0.058737,0.189386,0.335956,0.106778,1.08964,0.042504,0.059559,0.050508,0.04546,0.0528155,0.076613,0.0,0.051022,0.06377,0.033886,0.0470525,0.0988585,0.058102,2.36624,0.0,2.96406,1.22039,0.224456,0.047305,0.096184,0.136549,0.075309,0.048992,0.079014,11.4036,0.030935,0.429729,0.181014,0.0503805,0.688973,0.69363,0.446316,0.080495,0.173934,0.495077,5.17275,1.04728,0.0,0.204026,0.060739,0.0,0.0,0.0,0.0,0.170225,0.742769,11.4361,9.77588,0.113248,0.253683,0.098844,14.1993,0.208894,0.101517,0.164342,0.0,0.307305,0.415973,0.111954,3.64903,123.499
LPAR6,31.928,35.5021,15.1721,20.8606,25.1691,10.8537,20.3542,4.94769,3.51912,4.51456,2.09436,2.20463,3.52698,3.25649,5.69515,6.87003,3.7954,3.85239,16.2939,8.17655,34.6616,4.97554,9.33887,60.6039,27.3323,12.2391,11.5275,13.282,11.2633,6.42307,9.7131,56.3983,9.60167,24.2806,8.99888,5.93311,13.1918,16.8977,5.12636,3.76024,3.65244,59.8934,34.7847,49.4957,2.60049,34.4861,12.844,2.71023,3.5564,4.91799,3.86159,14.9162,58.8801,19.8812,18.8176,16.4485,35.1814,19.7733,30.6577,6.85452,6.39228,5.31213,5.20515,18.7358,29.9751,25.9471,68.4941,7.06938
CYSLTR2,0.375992,0.792843,7.42178,0.592327,1.07721,0.262484,0.119867,1.54567,1.86813,1.79376,0.85293,0.711844,1.25681,1.69319,1.92791,1.6941,1.23931,1.84563,1.26953,1.68696,0.280034,0.0,0.710969,0.529109,0.806769,0.630104,0.562217,0.364807,0.243356,0.383823,0.352168,0.259255,0.284777,0.950963,5.08224,2.88909,0.238191,0.665871,0.120591,0.045616,0.053877,2.52418,1.0145,0.167687,0.029495,0.369906,1.26335,0.034671,0.012459,0.171426,0.032256,0.404592,0.678365,0.746081,0.753674,1.38466,2.42508,1.93058,3.323,0.146554,0.135502,0.052528,0.54477,0.464448,0.436376,0.435329,0.556136,0.70342
MLNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082485,0.045888,0.0,0.0,0.0,0.0,0.067011,0.0,0.0,0.0,0.0,0.0,0.0,0.035584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084827,0.0,0.0,0.0,0.0,0.0,0.100487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148009,0.160228,0.031995,0.391177,0.0951895,0.253026,0.0,0.0,0.067489
OXGR1,1.33564,0.525205,0.037707,0.157108,0.315372,0.23839,0.620076,0.249113,0.432851,0.119303,0.042374,0.0526545,0.7641,1.16556,0.233691,0.311479,0.111722,0.0943805,0.852484,0.253703,1.06598,0.198202,0.0,0.724401,0.801342,0.32436,1.10114,1.24937,1.33738,0.27531,0.386814,1.11818,0.358625,1.1488,0.057335,0.0593345,2.05718,2.82842,0.0,0.0,0.0,0.557481,0.571423,3.05413,0.0928095,0.856378,0.096981,0.162484,0.160774,19.3909,0.264865,0.399403,0.376624,1.9064,2.80704,0.475458,0.122321,0.288282,0.295743,0.151838,0.165353,0.076811,0.263599,0.202112,0.73166,0.799044,0.731572,0.016716
GPR183,24.5167,25.1526,6.08905,22.7009,21.9052,18.1053,15.8976,1.44411,0.904375,1.58307,0.479967,0.461603,0.737952,0.902329,2.13368,4.2838,0.932121,0.72109,33.4974,3.19558,11.6929,0.0839635,136.727,9.26067,7.84624,27.3171,14.7608,15.4326,6.68208,21.2728,12.2645,3.78745,17.2527,13.3426,9.14629,0.895947,1.95147,1.56312,1.7297,0.521937,0.890571,51.9346,38.6363,7.21371,1.24395,42.6171,6.14143,0.963911,0.635525,0.840814,1.106,6.26168,8.88669,7.8488,9.15236,26.8308,184.609,72.0187,47.6615,5.7537,6.93988,2.36793,18.6101,2.88104,7.95576,5.1172,9.18903,34.6189
LTB4R,16.396,13.6117,9.06487,6.58361,8.78872,4.6374,7.27226,1.19458,1.17503,2.40525,6.22926,7.03079,1.91821,1.48598,1.63941,1.94762,2.47362,1.97621,2.87159,1.66708,15.5608,6.70049,14.6126,42.7529,11.4918,6.19881,6.86638,6.57157,8.37043,7.97409,5.51277,97.4431,5.62669,15.0006,2.7202,1.83373,5.80409,6.75798,8.06057,7.88165,5.78323,35.9022,24.9666,22.2342,2.67805,15.7991,13.4189,3.56078,6.46007,6.45476,5.0221,15.1149,21.5126,118.784,107.301,15.5746,39.0446,20.7393,54.4051,5.90446,5.8363,4.92182,6.8882,14.049,17.1852,10.4924,60.3157,82.0141
PTGDR,3.35198,1.91782,0.260226,0.963883,1.67019,1.25571,1.28614,0.117523,0.094227,0.314353,0.052454,0.111276,0.239524,0.152952,0.129948,0.260624,0.228377,0.190508,0.582891,0.197839,1.93153,0.278217,0.0,3.2815,4.19651,0.759562,6.96076,7.93252,10.484,0.607556,0.960839,0.32455,0.80226,3.23995,0.658011,0.934566,0.389589,0.428433,0.577367,0.294614,0.367043,9.68352,3.17051,0.855052,0.20456,4.49627,0.990931,0.16348,0.076439,0.095825,0.186385,1.51942,1.57085,0.638219,0.98662,1.79906,2.67579,1.82241,9.3776,0.645492,0.522119,0.200627,0.422438,0.203589,2.46243,2.89467,1.99148,3.4346
PTGER2,5.08888,7.63636,0.766523,1.07308,2.17003,0.8223,2.54144,0.069503,0.053344,0.151487,0.036237,0.0459915,0.0966565,0.088587,0.078081,0.228486,0.096145,0.093415,0.374206,0.119168,3.57983,37.1179,0.383379,6.09241,21.4131,1.23712,5.06424,5.93767,5.49374,1.59046,2.93539,0.924916,2.22074,3.04745,0.528152,0.165598,1.74627,4.08383,0.539617,0.40534,0.566642,7.67364,7.4073,2.73034,0.12582,3.80499,9.0538,0.26402,0.176376,0.278359,0.32469,0.837287,10.3016,1.05675,1.35434,9.14062,9.93162,10.4045,14.5893,6.93082,7.59148,5.31607,3.39227,2.48503,2.59777,11.6868,2.64582,23.1649
GPR65,1.03727,1.55777,0.891453,0.975031,1.23302,0.351282,1.25084,0.203866,0.114484,0.216239,0.077227,0.0658155,0.115909,0.114976,0.244176,0.333977,0.141485,0.158388,1.20244,0.487051,0.691906,0.588076,8.57379,0.738793,0.771838,0.655253,0.885724,1.10398,0.764071,0.477645,0.806043,0.488581,0.831619,0.974216,0.279477,0.147353,0.388892,0.735334,0.552907,0.402356,0.481333,7.82269,4.69591,0.622686,0.0721595,1.05117,0.235994,0.172074,0.121156,0.258472,0.218904,0.466488,1.14399,0.217265,0.203821,2.54407,11.4105,4.70733,11.7197,0.691559,0.638839,0.421649,0.834716,0.63798,0.654422,0.851349,0.874547,9.47405
GPR68,5.63125,1.40112,0.4798,1.07239,3.4169,1.74932,4.33479,1.06358,2.06906,0.419801,7.93644,8.99072,3.06755,3.15744,0.756754,4.97724,0.499725,0.28411,0.857096,0.708313,3.35879,4.0125,2.99858,6.21793,3.62068,2.86141,4.01464,4.18411,4.54494,2.67536,4.93759,7.82646,5.17644,2.37814,1.03293,0.806045,1.36456,2.9202,0.570585,0.328934,0.293425,9.43237,8.45671,4.93247,0.448027,2.03527,0.531733,0.361721,0.41733,1.0214,0.408677,20.8313,4.47225,6.74196,7.02133,4.10123,6.42865,4.11051,6.09481,5.97944,5.71991,4.78793,2.32835,4.68385,2.61189,1.82951,5.82904,2.92398
BDKRB2,6.73338,14.4083,0.86456,1.48388,3.49276,1.25524,13.6095,0.306678,0.220346,0.192933,3.16549,2.71957,0.317022,0.329987,0.234782,0.207508,0.0883,0.233882,0.314985,0.233494,7.00009,4.24326,0.033349,24.6407,13.4447,5.69629,8.18051,9.312,7.07484,3.42316,5.8332,18.6104,5.98556,7.7296,0.608733,0.234641,3.57785,10.6892,0.111675,0.02937,0.086328,9.40317,2.0938,2.23126,0.328128,13.3786,0.789401,2.62439,1.28761,1.38464,1.81907,0.960784,5.8261,5.24759,5.26421,10.3,2.81215,8.93338,0.104428,3.78925,3.95553,1.59866,7.73628,0.343543,5.31966,4.06062,22.2575,0.01793
BDKRB1,0.806504,5.80618,0.12359,0.292382,0.61723,0.150624,2.87447,0.121884,0.132037,0.072024,2.21797,2.26662,0.214405,0.204289,0.153944,0.064977,0.032553,0.106192,0.111967,0.119495,1.00937,3.21955,0.042379,8.01954,3.79766,1.86003,2.64678,3.25502,3.31816,1.45583,1.58372,10.6476,1.71801,2.06366,0.229565,0.053992,1.24939,6.39592,0.0719685,0.0,0.0,4.86707,0.535278,0.560957,0.053869,2.37048,0.17254,1.4308,1.47595,0.958171,1.20988,0.259506,1.06933,2.8176,2.60425,2.43815,0.470177,1.95103,0.049381,1.54215,1.92029,0.604081,5.34485,3.29381,1.3274,1.20366,8.35591,0.0
CHRM5,0.144933,0.109269,0.052032,0.188166,0.181212,0.181585,0.11775,0.21982,0.192111,0.113097,0.418507,0.44602,0.243806,0.262523,0.359695,1.75586,0.281459,0.098131,2.04642,1.41305,0.153347,0.044885,0.089531,0.178845,0.189001,0.086204,0.165063,0.125004,0.210417,0.117852,0.091367,0.074515,0.080791,0.187797,0.054013,0.0288775,0.0716295,0.161218,0.298613,0.242074,0.167916,0.283666,0.222773,0.111407,0.050686,0.466416,0.114655,0.0718145,0.058362,0.229914,0.0514435,0.241186,0.174599,0.199755,0.202789,0.255455,0.392833,0.20699,0.346705,0.096655,0.090233,0.06399,0.07748,1.22753,0.189669,0.18325,0.161534,0.07531
SSTR5,0.116771,0.06088,3.21639,4.35376,0.829862,0.289965,0.258207,0.058953,0.038297,0.047628,0.023326,0.034159,0.123154,0.1151,0.051618,0.407688,0.031154,0.0239515,0.035659,0.050257,0.0391885,0.0,0.025013,0.255168,0.085709,0.015677,0.052327,0.098329,0.118405,0.03659,0.020851,0.060355,0.016052,0.091339,6.49504,2.56343,0.642123,6.28648,0.011249,0.0,0.022195,0.0442175,0.0142065,0.969163,0.083121,0.056541,0.03693,0.213871,0.124003,18.0222,0.37062,17.9246,1.56948,0.101388,0.134826,0.173523,0.057789,0.244719,0.010088,0.122804,0.151928,0.103874,0.0106115,0.381965,0.0192205,0.034229,0.398027,0.043724
ADORA2B,1.3555,1.21014,2.19177,0.761916,1.21221,0.825649,4.70768,6.93827,12.5811,7.92416,4.03039,6.41736,11.8317,10.7077,5.21273,3.46325,10.3074,6.44348,1.32442,2.26292,1.59643,14.7348,0.505085,9.584,2.37143,3.85701,10.5248,23.4911,23.5724,4.53159,1.23468,16.0499,1.18178,3.2914,0.903401,1.19176,0.358309,1.49338,0.3079,0.220012,0.377137,1.9314,4.93668,2.18721,0.416903,1.93977,1.57233,0.966564,1.05567,0.847245,1.00798,4.49667,3.35651,18.2508,15.2118,2.97862,2.05216,4.0706,1.26574,0.846624,1.11311,0.247983,3.66168,3.4681,0.941429,1.73162,14.3518,1.69198
SSTR2,3.63234,4.29857,2.59086,0.572049,1.24305,0.901755,1.18274,3.61282,7.34746,3.6387,38.1153,33.9958,7.556,8.97785,5.14275,3.2743,7.91608,2.06549,1.23768,1.14789,2.88154,0.065155,3.79347,0.612846,0.946335,0.761434,0.973979,1.04387,0.866832,0.384597,1.14398,0.269234,1.11225,2.38188,0.369538,0.421689,3.10489,11.9097,0.530992,0.320345,0.548634,4.20671,0.713534,0.463608,0.531442,2.44997,0.348723,0.336285,0.223038,15.907,0.454778,4.61947,2.30507,0.410105,0.467727,0.896134,0.340346,0.85487,11.8523,1.65743,2.09275,1.93303,0.842052,0.811954,2.61559,1.63117,0.850157,0.024918
GALR2,0.0972765,0.181435,0.11138,0.153556,0.0927235,0.070971,0.099466,0.10139,0.138015,0.070506,0.150302,0.162219,0.135818,0.137308,0.119926,0.626047,0.144334,0.055422,0.231891,0.137038,0.101773,0.140929,0.259795,0.207047,0.05419,9.90492,4.5223,3.90896,0.247255,21.6702,0.098155,1.12995,0.082391,0.076027,0.046918,0.017877,0.053916,0.093405,0.101902,0.198625,0.19955,0.207965,0.253201,0.132228,0.044911,0.19337,0.078484,0.0916685,0.124775,0.176002,0.165211,0.288186,0.163651,0.48872,0.418315,0.26236,0.663033,1.22195,0.330581,0.201011,0.307583,0.142897,0.916853,0.881771,0.10344,0.060529,0.378892,0.32447
GCGR,0.252203,0.127114,0.141775,0.040991,0.249916,0.034646,0.314555,0.016684,0.021575,0.014507,0.113196,0.162716,0.0574105,0.030261,0.025751,0.056289,0.010298,0.01535,0.075617,0.058379,0.186846,0.0140285,0.623068,0.777879,0.430849,1.47375,0.924783,0.678761,0.147907,1.35481,0.281902,0.250118,0.20287,0.53527,0.017567,0.0,30.1449,75.9858,125.844,186.122,134.114,23.9824,0.160284,0.151496,0.0318925,14.46,0.039827,0.814247,0.791342,49.435,1.29304,0.479565,0.244954,2.40127,1.64174,0.904987,0.492951,1.06719,0.199772,0.105442,0.153054,0.029826,0.38657,2.43833,0.180225,0.191012,0.949627,0.016922
UTS2R,0.083844,0.063485,0.037107,0.268063,0.118106,0.059513,0.074859,0.203269,0.329695,0.128627,0.613887,0.733987,1.82424,1.37172,0.109716,0.200177,0.135026,0.099115,0.036473,0.041554,0.2018,0.022527,1.05487,0.0940095,0.171428,0.04955,0.224138,0.357557,0.518772,0.058861,0.076938,0.04848,0.063192,0.12583,1.17467,0.470814,0.0915085,1.39636,0.057297,0.074006,0.049088,0.259385,0.117917,0.416331,0.188438,1.31458,0.059983,0.297118,0.38539,0.244954,0.336496,0.280213,0.212941,0.074564,0.0577435,0.209432,0.341451,0.326548,0.664149,0.097861,0.111042,0.086519,0.0373715,9.11708,4.77281,0.070299,0.109035,0.03939
MC5R,0.0,0.032285,0.051334,0.0,0.0,0.0,0.0,0.035604,0.100768,0.0,0.037992,0.031286,0.068489,0.098074,0.036089,0.069863,0.0,0.0,0.0,0.022067,0.0157015,0.0,0.0,0.0434315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098152,0.0,0.11516,0.0561655,0.0,0.0,0.0,0.0,0.020906,0.024692,0.0,0.0,0.739223,0.0,0.0,0.0295245,0.0
HRH4,0.1641,0.08775,0.079925,0.0775725,0.111568,0.124823,0.16882,0.019229,0.018277,0.023418,0.022714,0.0227535,0.0232835,0.02494,0.020867,0.033259,0.03584,0.0177805,0.044747,0.027246,0.0982785,0.054312,0.0,0.0934275,0.104002,0.093934,0.069434,0.0529565,0.0269175,0.062814,0.125696,0.0537575,0.143347,0.09097,0.03323,0.017137,0.0320655,0.038097,0.101005,0.116628,0.088053,0.148704,0.162519,0.153066,0.053888,0.244357,0.090035,0.0178935,0.016852,0.0,0.011783,0.076775,0.102756,0.080259,0.102666,0.097262,0.155828,0.103914,0.15265,0.038206,0.018883,0.012439,0.031211,0.357132,0.071381,0.142383,0.103677,0.208626
MC4R,0.0,0.0,0.0,0.0,0.0,0.0,0.037337,0.641518,1.7644,2.31285,0.1436,0.264171,1.09473,1.40081,0.291905,3.39407,1.06498,1.88581,0.122515,0.185507,0.0,0.0,0.0,0.0,0.0,0.0,0.047395,0.0883505,0.140101,0.0,0.27273,0.0,0.255218,0.12274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0841135,0.0,0.098491,0.0,0.0,0.061367,0.0,0.0,0.0,0.0,0.108804,0.0,0.0,0.0,0.044523,0.0,0.0138175,0.381848,0.053214,0.112303,0.068229,0.045412,0.190078,0.0,0.0,0.0,0.0
GALR1,0.224134,0.058783,0.017671,0.013012,0.0247135,0.033583,0.021374,0.417093,0.354199,0.218782,0.084126,0.075381,0.337579,0.485936,0.282674,0.984547,0.29623,0.242914,0.444478,0.315572,0.0956845,0.0,0.0,0.05263,0.037809,0.246982,0.135176,0.083462,0.022078,0.197279,0.247143,0.0152,0.19667,0.035425,0.032449,0.015416,0.0242285,0.055947,0.0,0.0,0.0,0.07433,0.006284,0.046803,0.004906,0.288632,0.017184,0.026381,0.019988,1.18968,0.0173755,2.92754,0.297446,0.063413,0.0764535,0.134941,0.005397,0.049507,0.0,0.105973,0.083219,0.029193,0.305208,0.589232,0.101896,0.010579,0.047968,0.0
KISS1R,0.025346,0.050948,0.034179,0.026497,0.0287215,0.0,0.02976,0.71386,1.06718,0.862074,0.222455,0.211747,0.705247,0.893967,0.150415,3.32007,2.08833,0.662012,0.187339,0.366983,0.068776,0.0,2.30369,0.0841295,0.022827,0.026992,0.077791,0.176913,0.110601,0.037529,0.0,0.130066,0.0,0.033989,0.014604,0.0,0.121618,0.139309,0.0154175,0.018342,0.0,0.313366,0.120997,0.114875,0.0,0.0256615,0.023067,0.126087,0.147112,1.1453,0.204031,1.84326,0.042874,0.085832,0.061498,0.249426,2.33306,0.577497,0.687548,0.036452,0.050576,0.024139,0.028857,0.112838,0.0591855,0.0,0.084453,0.569388
TBXA2R,4.95398,5.13441,10.8324,69.3672,46.8243,65.7063,3.80443,0.756166,0.752816,0.552247,0.274549,0.447036,0.867147,0.632537,0.670431,0.959302,0.380019,0.690155,0.585127,0.764148,2.73184,2.66057,0.171198,6.76055,7.95085,3.36292,2.97476,1.85772,0.950286,2.45016,7.83402,1.96699,9.17413,6.61534,1.85106,2.20256,5.27391,4.75961,3.75327,1.67481,2.03263,6.90231,8.48967,0.810349,0.549209,15.695,2.57579,0.504673,0.280803,1.33345,0.526734,1.95045,4.38917,0.997847,1.37347,4.54567,3.54263,3.33712,12.535,2.66925,1.8445,0.91887,4.03081,1.34803,5.77966,8.57827,5.03918,2.02118
P2RY11,13.1115,11.6564,5.47021,7.53906,9.61005,8.96057,20.7067,9.3898,11.9191,12.7616,24.2436,23.9591,16.583,14.6899,10.742,11.7228,14.1564,11.6126,8.3133,7.50449,14.3607,11.5883,46.6721,16.3461,18.6217,18.0995,14.2503,16.9381,16.5924,23.1247,14.1017,11.5184,16.0558,20.4018,3.75311,3.19553,6.92224,16.4605,6.11134,6.54257,4.31748,27.2751,16.6376,12.5438,6.81463,15.3446,21.9406,4.69063,9.42271,11.8124,5.88581,18.9259,23.9834,27.6266,29.4365,18.2382,59.0114,25.482,27.3419,9.8534,13.6168,11.2333,17.7902,27.0421,27.4035,16.3401,18.0889,10.74
S1PR2,12.437,13.2714,3.77359,5.04993,8.99698,3.5498,12.0879,1.28229,1.17335,0.817694,1.01699,1.06901,1.28194,1.19881,1.09703,1.81172,0.891365,0.794465,2.18039,1.23677,10.8672,20.5927,24.1283,16.2146,29.6284,9.32894,6.69226,4.11367,2.00735,9.02128,13.122,4.5778,11.1039,22.0718,5.89393,2.87714,2.02446,3.07799,3.50059,3.61729,3.5555,19.3337,31.3801,5.90584,0.618987,16.2784,11.4984,2.15548,1.64419,2.92508,1.97011,5.91208,12.9041,7.95475,9.73229,8.77334,10.8679,7.55848,3.74404,5.074,4.64983,2.5243,11.9984,37.6437,7.95328,18.5598,14.4051,1.09653
S1PR5,0.586864,0.819451,0.410024,0.675622,0.589359,0.467696,1.60945,10.4805,3.19079,8.28572,2.72662,2.87671,4.72658,5.27031,18.1167,8.819,4.22366,14.1278,56.369,24.8998,0.626608,0.46174,0.042464,8.36442,0.428776,0.116378,0.355116,0.257923,0.196162,0.064486,0.100128,14.4255,0.108311,0.431786,0.24545,0.164878,0.435573,0.882367,0.689393,0.400189,0.348488,2.53458,3.42503,2.10674,0.102348,0.169757,0.355596,0.558487,0.672308,0.379086,0.65238,0.531653,3.02701,21.5539,16.5363,0.448389,0.752995,0.447116,14.1275,0.249171,0.213864,0.229214,0.0629375,1.50941,0.765268,0.477099,15.6452,19.435
PTGER1,0.692889,1.19088,1.8587,0.579875,1.42888,0.364695,1.20119,0.290912,0.317212,0.647295,0.28709,0.2885,0.435059,0.402664,0.288574,0.649988,0.840097,0.535448,0.488063,0.398583,0.698438,0.817884,0.0,0.614331,0.895142,0.547648,0.627315,0.645571,0.541721,0.570063,1.61457,1.00365,1.1044,2.11766,0.075135,0.03825,8.11795,40.1316,0.260476,0.193003,0.234867,3.90527,3.73098,0.51388,0.0785705,1.43132,0.132505,0.188235,0.212823,0.821342,0.229249,2.83629,0.845286,0.182012,0.21202,2.03419,3.23259,1.93382,9.76247,3.5496,3.74707,0.589421,9.44965,0.5675,0.901161,0.756132,0.801425,0.047879
LPAR2,7.10238,8.20297,2.23056,5.7038,5.21699,2.55062,9.83033,2.77775,2.94912,1.79815,1.22968,1.72462,4.58444,3.40101,2.62642,5.91187,2.46575,1.58441,3.64216,2.80763,8.5497,2.5258,12.4421,11.5693,8.95913,3.671,10.3836,13.3108,14.4588,4.68969,2.52054,12.1855,2.58958,9.93637,1.39778,0.749363,3.79328,8.37407,2.07569,2.66719,1.97472,38.5363,29.9585,14.8921,0.484755,8.03572,12.0914,10.2804,12.7023,5.12724,11.742,11.3005,20.2495,17.3206,15.2743,19.2836,67.4437,29.5994,69.604,21.2935,26.628,27.9295,3.30406,66.8046,23.6675,5.50058,12.5226,173.264
