Name,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c-1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV-transformed_lymphocytes,Cervix_Ectocervix,Cervix_Endocervix,Colon_Sigmoid,Colon_Transverse,Colon_Transverse_Mixed_Cell,Colon_Transverse_Mucosa,Colon_Transverse_Muscularis,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Fallopian_Tube,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Kidney_Medulla,Liver,Liver_Hepatocyte,Liver_Mixed_Cell,Liver_Portal_Tract,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pancreas_Acini,Pancreas_Islets,Pancreas_Mixed_Cell,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,Small_Intestine_Terminal_Ileum_Mixed_Cell,Spleen,Stomach,Stomach_Mixed_Cell,Stomach_Mucosa,Stomach_Muscularis,Testis,Thyroid,Uterus,Vagina,Whole_Blood
ADRA1A,2.12393,2.37716,0.066428,0.183861,0.377059,1.24757,0.444001,0.78859,1.16719,0.571909,0.497835,1.31658,1.03612,0.956288,0.765594,0.726878,0.335423,0.506181,0.339239,0.462418,1.90296,0.063252,0.004857,0.262226,0.859157,1.19985,0.582387,0.247937,0.113886,0.343509,0.843817,0.170958,0.321739,0.145417,0.096721,2.30389,0.0650635,0.156255,13.7034,10.1157,10.8436,1.98801,3.80844,0.592093,0.070504,0.106493,0.451828,0.02319,0.0,0.0,0.023909,0.057697,2.43036,0.335261,0.446,0.938821,0.716532,0.520535,3.39593,0.47426,0.300369,0.138896,0.562827,0.846437,0.189865,0.674653,0.136124,0.006504
ADRB3,0.068633,0.219336,0.033151,0.008218,0.032012,0.0,10.7837,0.10059,0.109341,0.027049,0.0,0.0,0.205095,0.144467,0.065697,0.046681,0.040006,0.026583,0.0,0.0,0.0951895,0.0,0.0,0.08426,0.517503,3.93788,1.37197,0.842381,0.076306,5.00516,5.64432,0.20159,9.3411,12.9559,0.02015,0.0094365,0.0208855,0.101043,0.0,0.0,0.0,0.035129,0.147866,0.0,0.0,0.0,29.9931,0.0,0.0,0.0,0.0,0.022972,0.699425,0.028203,0.022816,0.458238,0.148558,0.240034,0.025197,0.617352,1.84674,0.05357,15.9288,0.105047,0.0,1.28963,0.256893,0.0
NPBWR1,0.0588295,0.019675,0.0,0.0,0.0,0.0,0.230948,0.188732,0.671914,0.0201145,0.034852,0.034914,0.672714,0.64443,0.074618,0.776381,0.029608,0.010896,0.0146185,0.021108,0.021483,0.0,0.0,0.190949,0.050297,0.0,0.010896,0.01268,0.0,0.0,0.017492,0.0207295,0.022834,0.0,0.0,0.0,0.0121545,0.017705,0.875229,0.687751,0.945603,0.511675,0.0625265,0.172514,0.00603,0.0165085,0.0,0.0,0.0,0.0,0.0,0.530692,0.101953,0.695711,0.484623,0.095068,0.353295,0.13634,0.147153,0.029284,0.023546,0.017109,0.0,0.260871,0.02052,0.0,0.0555965,0.0
OPRK1,0.199165,0.0,0.0,0.131696,0.023151,0.031789,0.021512,1.39664,1.99272,1.60061,0.919314,1.05242,1.26915,1.54473,0.426328,2.65541,4.58353,0.615364,0.089811,0.285362,0.0251745,0.0,0.0,0.0,0.015073,0.083663,0.027029,0.0205565,0.0,0.102012,0.011805,0.0,0.0,0.0,0.094206,0.01935,0.0,0.0,0.0,0.0,0.0,0.0047055,0.021376,0.020377,0.0117035,0.0,0.018007,0.0,0.0,0.022743,0.0,0.188779,0.422789,0.011413,0.0153385,0.007549,0.0,0.003318,0.014004,0.014202,0.009174,0.0,0.0709625,0.856528,0.0551175,0.0,0.0,0.0
TRHR,0.049038,0.036809,0.0,0.0210765,0.0374405,0.034646,0.022534,0.014522,0.0,0.0,0.0,0.012146,0.0,0.0,0.012498,0.040991,0.008834,0.0,0.0,0.0,0.04344,0.0387085,0.020084,0.0264365,0.038292,0.018545,0.014106,0.0,0.0,0.0,0.033064,0.0,0.027529,0.041013,0.031952,0.0123705,0.0,0.0,0.0,0.0,0.0,0.0317965,0.0395775,0.038481,0.036036,0.0669365,0.03783,0.0054745,0.0,0.017449,0.0,0.933768,0.023097,0.012006,0.0210125,0.024426,0.017645,0.0203955,0.032014,0.014918,0.0,0.0,0.0,0.026242,0.066288,0.052241,0.029436,0.0
S1PR3,5.26553,8.04801,11.6654,33.9613,38.6154,29.7543,10.6271,1.19729,1.41409,1.71388,0.539838,0.632984,1.41506,1.46865,1.49766,1.55041,1.16197,1.76603,2.55593,2.15091,4.58908,17.6253,0.025733,14.2108,18.7289,8.66887,4.09797,2.29713,0.451131,6.58639,41.1006,2.40332,53.7511,24.0794,5.23263,3.83564,5.17694,16.77,1.41383,0.763802,0.995415,11.3979,6.64986,1.97761,1.09892,8.74286,1.46749,1.06943,0.447387,1.16933,0.61309,11.85,12.2817,1.58691,1.78617,4.6671,4.63715,5.79825,6.99525,3.2642,5.06742,1.21814,13.622,1.16364,3.74703,12.198,14.2441,1.00354
LPAR1,47.5301,32.4316,11.5793,72.6312,44.5234,69.3616,44.06,103.696,29.1598,69.8005,17.5904,15.3005,30.9814,40.1491,117.573,62.5315,43.6644,118.131,254.571,147.038,40.5165,187.985,0.190996,57.4656,53.7584,34.1098,20.3118,14.7545,8.34697,15.1757,33.013,13.7384,27.7246,24.8583,18.5241,4.29979,4.33986,14.2297,0.774505,0.145696,0.453202,12.9847,29.2918,21.4498,3.76464,157.978,16.1494,3.07615,2.05569,4.69889,3.74894,4.27515,34.6701,23.9302,29.0665,23.461,19.6716,22.5213,19.8779,9.72238,10.332,3.5616,16.8275,8.83825,32.2094,25.3,52.7904,0.737614
TACR2,1.11832,0.734812,0.300572,1.18146,1.26259,1.64466,42.1319,0.69877,1.04458,0.759408,1.22396,1.2214,1.1288,1.28748,0.576612,0.610564,1.06797,0.522224,0.311025,0.418982,0.910709,0.36104,0.135762,1.06,4.33525,246.983,57.6888,39.2948,1.32443,256.81,101.181,7.66536,70.5655,36.1526,0.895123,0.465228,0.209165,0.382236,0.0703095,0.068802,0.085181,0.443098,0.91927,0.409502,1.37589,1.03864,1.88761,0.107076,0.136803,0.051688,0.0782655,0.364452,3.18549,0.933912,1.14073,6.94029,1.74368,5.82689,0.358067,2.59955,22.436,0.583211,183.166,1.09713,0.57857,20.6486,6.79655,0.140402
NPFFR1,0.0135585,0.1966,0.022238,0.026859,0.032469,0.010625,0.074698,0.793177,1.12312,0.421665,11.3928,10.4845,0.979536,0.98595,0.838307,2.16363,1.91923,0.35387,2.23964,0.902743,0.0700225,0.0066795,0.017143,0.406952,0.107084,0.035467,0.04157,0.025439,0.0237205,0.016531,0.040417,0.0679325,0.021867,0.26335,0.012043,0.002726,0.025494,0.01921,0.003305,0.0,0.0,0.098888,0.152951,0.141044,0.0046975,3.7106,0.134528,0.005071,0.003087,0.0,0.00281,0.075768,0.102858,0.179436,0.176331,0.098572,0.231387,0.203353,0.058883,0.017319,0.008221,0.002378,0.0143325,2.22174,0.105082,0.053014,0.379726,0.001417
FFAR4,2.26151,2.1721,0.270114,0.127656,0.318579,0.05265,0.165928,0.328522,1.01972,0.118647,0.034934,0.0275505,1.74811,1.73365,0.296977,0.703099,0.336579,0.0667585,0.295697,0.202774,0.904455,0.0,0.0,0.09296,0.072145,0.095207,3.98529,11.82,11.9717,1.07879,0.112999,0.131678,0.096301,0.148676,0.046469,0.0155995,0.023212,0.057302,0.104283,0.052812,0.080198,0.270938,1.8369,0.175109,0.014433,0.229895,0.019814,0.385908,0.263832,4.01302,0.405131,19.1657,0.101942,0.474514,0.493253,0.483158,0.024914,0.591248,0.098975,0.188489,0.215419,0.176317,0.0244495,2.69268,0.114361,0.040469,0.096542,0.059086
ADRA2A,93.0518,40.6088,1.97202,3.94221,7.83102,12.4503,25.327,1.45064,2.97566,0.567093,9.43924,12.4882,5.03137,4.81207,1.2938,6.24652,0.535446,0.319035,0.97939,1.74261,57.3835,0.116717,0.038835,69.1815,66.6012,6.93662,9.65181,11.6439,10.9175,3.92354,4.21003,3.26971,3.76975,9.75154,1.6101,0.581332,2.0412,7.01654,0.569006,0.103591,0.37615,26.5017,7.32199,9.8125,0.606868,23.8567,39.706,18.0289,14.9869,18.806,18.7637,3.35567,12.0707,10.6663,18.6239,7.0281,2.15128,7.1382,14.226,2.23303,1.66585,0.478045,2.47368,12.5902,19.7431,13.2898,39.7287,0.200926
ADRB1,1.96514,5.33772,0.134601,0.161578,2.18049,0.100715,0.884951,3.84958,6.65118,6.73442,0.908151,1.44703,11.41,11.075,2.95926,2.15876,12.8635,5.92161,0.73174,2.85722,2.19559,0.0138225,0.697521,0.137355,0.155234,3.43416,1.93588,1.36583,0.780047,3.08989,3.32341,0.671358,4.60395,0.204894,14.0046,13.7187,0.936845,0.789261,0.184718,0.057878,0.106764,2.87508,23.801,0.345305,0.118091,0.211097,0.132254,0.492741,0.555785,1.31539,0.449804,0.29644,5.76202,0.589868,0.494718,2.93498,1.53105,1.99334,2.54024,0.900403,0.900512,0.839279,0.23858,1.19892,1.07442,0.150973,0.275613,0.134444
DRD4,1.71198,1.38676,0.931898,2.18285,1.82035,2.148,3.15044,1.82554,1.92421,2.12886,5.97616,7.03674,2.8154,2.10821,2.18227,2.6337,2.25749,1.95944,2.22965,1.50348,1.51461,0.361755,0.338161,2.79534,4.5536,3.18268,1.36285,1.35294,0.961995,3.71614,3.17174,1.24904,3.07021,4.87997,0.546748,0.337056,1.27227,0.960965,0.887067,0.441993,0.310468,2.62016,1.90574,0.883763,0.655522,4.50524,7.1516,0.927937,1.12233,0.825092,0.948036,7.71553,4.30166,2.45408,2.21498,1.75981,1.87692,1.76034,1.12889,1.03957,1.38801,1.04921,2.73334,6.36245,3.94728,4.70571,3.11647,0.385107
CCKBR,0.052104,0.076528,0.099897,0.0292505,0.0588205,0.029714,0.029606,6.84014,16.2907,2.12979,24.6958,24.8235,22.6245,23.5875,2.88772,1.04896,4.79775,1.29757,0.391034,0.515401,0.0506285,0.0,0.0,0.0416885,0.1228,0.117638,0.114521,0.0653095,0.0059885,0.278824,0.569631,0.03718,0.248988,0.15807,0.024458,0.0097145,0.0211635,0.060626,0.0094835,0.017583,0.016048,0.0,0.0482055,0.050512,0.0,0.442774,0.114784,3.85614,8.85323,7.30804,5.74925,1.09914,0.167798,0.541409,0.519306,0.019291,0.022087,0.0,0.011574,39.5989,51.0139,56.2423,3.19154,1.04892,0.279656,0.102317,0.047492,0.033778
MRGPRX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036596,0.0,0.0,0.0,0.0
MRGPRX2,0.827843,0.081321,0.0,0.0,0.0,0.0,0.810776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238732,0.0,0.021632,0.26971,0.041247,0.103598,0.086584,0.135863,0.0,0.066646,0.475153,0.082798,0.423124,0.078396,0.0,0.0087005,0.0,0.0,0.0,0.0,0.0,0.0180725,0.0351735,0.204696,0.0276605,0.30908,0.0,0.0,0.027561,0.0,0.0,0.0,0.0,1.19863,1.11296,0.141553,0.0,0.0797755,0.034594,0.053798,0.073396,0.0,0.207404,0.29334,0.0,0.053828,0.288748,0.0
CHRM4,0.304871,0.179895,0.164058,0.279624,0.218473,0.337621,0.217242,2.95964,5.66708,26.6037,0.55289,0.657215,11.2813,10.5932,4.01806,1.99548,22.4,21.1991,0.325334,0.553542,0.345571,0.0901765,0.332411,0.219104,0.270648,3.81163,1.49034,1.57,0.373928,3.1057,0.797387,0.0932205,1.00042,0.327689,0.164138,0.0519555,0.0786405,0.061752,0.035097,0.026557,0.047527,0.202626,0.290197,0.188517,0.048605,0.300125,0.207683,0.122361,0.094639,1.05659,0.109388,2.783,0.21543,2.9461,3.50911,6.56188,0.453808,5.15171,16.9132,0.528268,0.635071,0.271127,2.51086,17.6682,0.214725,0.350121,0.173788,0.187615
APLNR,16.0933,8.35704,5.0025,3.15126,9.89736,2.53561,1.67225,28.1743,14.0952,6.10106,5.63725,9.80993,18.6093,6.88193,28.9731,36.9207,7.42661,2.16519,86.0159,31.5855,8.03936,0.0760095,0.019085,1.48957,0.71713,4.49811,5.52561,3.70363,1.86425,2.06358,5.5245,2.21653,6.38457,1.69292,15.9235,9.53833,3.65023,2.87014,6.05593,3.53634,4.19599,10.848,4.10343,4.2323,2.83183,6.48154,0.452591,0.86999,0.645978,0.935131,1.142,3.27429,0.654061,3.35205,4.56438,5.00289,1.90757,2.9208,112.696,2.60661,1.41483,0.92721,1.7053,1.4414,19.431,1.20218,1.50295,0.047718
